№ 	Module	Description	                                        Status		
1	Name				
1.1		Ввод буквенных значений на латинице			Passed		
1.2		Ввод 2 букв на латинице					Passed		
1.3		Ввод 255 букв на латинице				Passed		
1.4		Ввод 100 букв на латинице				Passed		
1.5		Ввод значений смешанного типа (a-z, 0-9)		Failed		
1.6		Ввод Name, которое уже зарегистрировано			Failed		
1.7		Окрашивание рамки при клике мышью на поле		Passed		
1.8		Окрашивание рамки при фокусе на поле			Failed		
1.9		Ввод 1 буквы на латинице				Failed		
1.10		Ввод 256 букв на латинице				Failed		
1.11		Ввод значений, состоящих из 2 и более слов		Passed		
1.12		Ввод буквенные значения на кириллице			Failed		
1.13		Ввод буквенные значения на кириллице и латинице		Failed		
1.14		Ввод буквенные значения другим алфавитом		Failed		
1.15		Ввести 1 пробел между словами				Passed		
1.16		Ввести пробел перед именем				Failed		
1.17		Ввести пробел после имени				Failed		
1.18		Ввести 2 и более пробела между словами			Failed		
1.19		Ввод цифровых значений					Failed		
1.20		Удаление значений из поля				Passed		
1.21		Ввод пустого поля					Failed		
1.22		Ввод только спецсимволов				Failed		
1.23		Ввод имени с "-", ".", " апостроф"			Passed		
1.24		Ввести строчные и заглавные буквы			Passed		
1.25		Ввода горячими клавишами Ctrl+C + Ctrl+V		Passed		
1.26		Удаление значений из поля Ctrl+V + Ctrl+X		Passed		
1.27		Ввести минус, потом максимальное число символов		Failed		
1.28		Проверка редактирования введенных данных		Passed		
2	Surname				
2.1		Ввод буквенных значений на латинице			Passed		
2.2		Ввод 2 букв на латинице					Passed		
2.3		Ввод 255 букв на латинице				Passed		
2.4		Ввод 100 букв на латинице				Passed		
2.5		Ввод значений смешанного типа (a-z, 0-9)		Failed		
2.6		Ввод Name, которое уже зарегистрировано			Failed		
2.7		Окрашивание рамки при клике мышью на поле		Passed		
2.8		Окрашивание рамки при фокусе на поле			Failed		
2.9		Ввод 1 буквы на латинице				Failed		
2.10		Ввод 256 букв на латинице				Failed		
2.11		Ввод значений, состоящих из 2 и более слов		Passed		
2.12		Ввод буквенные значения на кириллице			Failed		
2.13		Ввод буквенные значения на кириллице и латинице		Failed		
2.14		Ввод буквенные значения другим алфавитом		Failed		
2.15		Ввести 1 пробел между словами				Passed		
2.16		Ввести пробел перед именем				Failed		
2.17		Ввести пробел после имени				Failed		
2.18		Ввести 2 и более пробела между словами			Failed		
2.19		Ввод цифровых значений					Failed		
2.20		Удаление значений из поля				Passed		
2.21		Ввод пустого поля					Failed		
2.22		Ввод только спецсимволов				Failed		
2.23		Ввод имени с "-", ".", " апостроф"			Passed		
2.24		Ввести строчные и заглавные буквы			Passed		
2.25		Ввода горячими клавишами Ctrl+C + Ctrl+V		Passed		
2.26		Удаление значений из поля Ctrl+V + Ctrl+X		Passed		
2.27		Ввести минус, потом максимальное число символов		Failed		
2.28		Проверка редактирования введенных данных		Passed		
3	E-mail				
3.1		Ввод латиницей						Passed		
3.2		Оставляем поле пустым					Failed		
3.3		Отсутствие @ в e-mail  					Failed		
3.4		Ввод e-mail с двумя и более @ 				Failed		
3.5		Ввести только цифры					Failed		
3.6		Ввод e-mail в нижнем регистре				Passed		
3.7		Ввод e-mail в верхнем регистре				Failed		
3.8		Ввод e-mail со спецсимволами				Failed		
3.9		Ввод e-mail с цифрами в имени аккаунта			Failed		
3.10		Ввод e-mail с 1 цифрой в имени аккаунта			Passed		
3.11		Ввод e-mail с цифрами в доменной части			Passed		
3.12		Ввод e-mail с дефисом в имени аккаунта			Passed		
3.13		Ввод e-mail с точкой в имени аккаунта			Passed		
3.14		Ввод e-mail с несколькими точками в имени аккаунта	Failed		
3.15		Ввод e-mail без точек в доменной части			Failed		
3.16		Ввод e-mail со знаком подчеркивание в имени аккаунта	Passed		
3.17		Ввод e-mail со знаком подчеркивание в доменной части	Failed		
3.18		Превышение длины e-mail					Failed		
3.19		Ввод e-mail с пробелами в имени аккаунта 		Failed		
3.20		Ввод e-mail с пробелами в доменной части		Failed		
3.21		Ввод e-mail без имени пользователя			Failed		
3.22		Ввод e-mail без доменной части				Failed		
3.23		Некорректный домен первого уровня (допустимо 2-63 букв после точки)	Passed		
3.24		Некорректный домен второго уровня (допустимо 2-16 букв после точки)	Passed		
3.25		Ввести 128 символов перед @				Passed		
3.26		Ввести 129 символов перед @				Failed		
3.27		Ввести 2 символов перед @				Passed		
3.28		Ввести 1 символ перед @					Failed		
3.29		Ввод e-mail с кириллическим доменным именем (login@домен.бай)	Failed		
					
4	Password				
4.1		Оставляем поле пустым					Failed		
4.2		Ввод 5 символов латиницей				Passed		
4.3		Ввод 32 символов латиницей				Passed		
4.4		Ввод 15 символов латиницей				Passed		
4.5		Ввод 4 символов латиницей				Failed		
4.6		Ввод 33 символов латиницей				Failed		
4.7		Ввод символов кирилицей					Failed		
4.8		Ввод числовых символов					Failed		
4.9		Ввод спецсимволов					Passed		
4.10		Возможность удаления данных из поля			Passed		
4.11		Ввод пароля комбинацией минимум 1 цифра, 1 заглавная буква, 1 спец символ	Passed		
4.12		Ввод пароля клавишами Ctrl+C + Ctrl+V			Passed		
					
5.1		Заполнить все поля корректной информацией и нажать кнопку Submit	Passed		
5.2		Заполнить все поля некорректной информацией и нажать кнопку Submit	Failed		
5.3		Оставить все поля пустыми и нажать кнопку Submit	Failed		
5.4		Щелкнуть мышкой по белому полю и нажать кнопку Submit	Failed		
5.5		Не заполнить обязательные поля и нажать кнопку Submit	Passed		
5.6		Ввести пробелы во все поля обязательные и нажать кнопку Submit	Failed		
5.7		"Ввести в текстовые поля больше допустимого максимального 
                количества символов и нажать кнопку Submit"		Failed		
